Sample,Pathlength,Temperature,Absorbance
8,1.0,39.1,0.3547
8,1.0,39.6,0.3564
8,1.0,40.1,0.3582
8,1.0,40.6,0.3602
8,1.0,41.1,0.3621
8,1.0,41.6,0.364
8,1.0,42.0,0.366
8,1.0,42.6,0.368
8,1.0,43.0,0.37
8,1.0,43.5,0.3721
8,1.0,44.0,0.3739
8,1.0,44.5,0.3759
8,1.0,45.0,0.3781
8,1.0,45.5,0.3797
8,1.0,46.0,0.3815
8,1.0,46.5,0.383
8,1.0,47.0,0.3847
8,1.0,47.5,0.3862
8,1.0,48.0,0.3877
8,1.0,48.5,0.3889
8,1.0,49.0,0.3903
8,1.0,49.5,0.3916
8,1.0,50.0,0.3927
8,1.0,50.5,0.3936
8,1.0,50.9,0.3946
8,1.0,51.5,0.3955
8,1.0,52.0,0.3964
8,1.0,52.4,0.3971
8,1.0,53.0,0.3979
8,1.0,53.4,0.3986
8,1.0,54.0,0.3993
8,1.0,54.4,0.3999
8,1.0,55.0,0.4005
8,1.0,55.4,0.4012
8,1.0,55.9,0.4017
8,1.0,56.5,0.4022
8,1.0,56.9,0.4028
8,1.0,57.4,0.4032
8,1.0,57.9,0.4038
8,1.0,58.4,0.4041
8,1.0,58.9,0.4047
8,1.0,59.5,0.405
8,1.0,59.9,0.4055
8,1.0,60.4,0.4061
8,1.0,60.9,0.4064
8,1.0,61.4,0.4069
8,1.0,61.9,0.4072
8,1.0,62.5,0.4076
8,1.0,62.8,0.4081
8,1.0,63.4,0.4085
8,1.0,63.9,0.4089
8,1.0,64.4,0.4093
8,1.0,64.9,0.4097
8,1.0,65.4,0.4102
8,1.0,65.9,0.4105
8,1.0,66.3,0.4111
8,1.0,66.8,0.4114
8,1.0,67.4,0.4119
8,1.0,67.9,0.4121
8,1.0,68.3,0.4124
8,1.0,68.8,0.4129
8,1.0,69.3,0.4132
8,1.0,69.9,0.4136
8,1.0,70.3,0.4141
8,1.0,70.8,0.4143
8,1.0,71.3,0.4147
8,1.0,71.9,0.4151
8,1.0,72.3,0.4156
8,1.0,72.8,0.416
